Epoch,Metrics,Score
0,eval_acc,0.6181
0,eval_auc,0.6181
0,eval_brier,0.3819
0,eval_f1,0.6667
0,eval_loss,0.6734
0,eval_mcc,0.2468
0,eval_pf,0.5278
0,eval_precision,0.5914
0,eval_recall,0.7639
0,eval_time,50.0
0,___best___,___best___
1,eval_acc,0.9028
1,eval_auc,0.9028
1,eval_brier,0.0972
1,eval_f1,0.9067
1,eval_loss,0.359
1,eval_mcc,0.8084
1,eval_pf,0.1389
1,eval_precision,0.8718
1,eval_recall,0.9444
1,eval_time,55.0
1,___best___,___best___
2,eval_acc,0.9236
2,eval_auc,0.9236
2,eval_brier,0.0764
2,eval_f1,0.9231
2,eval_loss,0.299
2,eval_mcc,0.8473
2,eval_pf,0.0694
2,eval_precision,0.9296
2,eval_recall,0.9167
2,eval_time,57.0
2,___best___,___best___
3,eval_acc,0.9167
3,eval_auc,0.9167
3,eval_brier,0.0833
3,eval_f1,0.92
3,eval_loss,0.2854
3,eval_mcc,0.8362
3,eval_pf,0.125
3,eval_precision,0.8846
3,eval_recall,0.9583
3,eval_time,51.0
4,eval_acc,0.9375
4,eval_auc,0.9375
4,eval_brier,0.0625
4,eval_f1,0.9396
4,eval_loss,0.2402
4,eval_mcc,0.8771
4,eval_pf,0.0972
4,eval_precision,0.9091
4,eval_recall,0.9722
4,eval_time,58.0
4,___best___,___best___
5,eval_acc,0.8958
5,eval_auc,0.8958
5,eval_brier,0.1042
5,eval_f1,0.8872
5,eval_loss,0.5378
5,eval_mcc,0.8011
5,eval_pf,0.0278
5,eval_precision,0.9672
5,eval_recall,0.8194
5,eval_time,66.0
6,eval_acc,0.9097
6,eval_auc,0.9097
6,eval_brier,0.0903
6,eval_f1,0.9051
6,eval_loss,0.4351
6,eval_mcc,0.8233
6,eval_pf,0.0417
6,eval_precision,0.9538
6,eval_recall,0.8611
6,eval_time,53.0
7,eval_acc,0.9097
7,eval_auc,0.9097
7,eval_brier,0.0903
7,eval_f1,0.9051
7,eval_loss,0.4329
7,eval_mcc,0.8233
7,eval_pf,0.0417
7,eval_precision,0.9538
7,eval_recall,0.8611
7,eval_time,53.0
8,eval_acc,0.9167
8,eval_auc,0.9167
8,eval_brier,0.0833
8,eval_f1,0.913
8,eval_loss,0.4672
8,eval_mcc,0.8362
8,eval_pf,0.0417
8,eval_precision,0.9545
8,eval_recall,0.875
8,eval_time,49.0
9,eval_acc,0.9167
9,eval_auc,0.9167
9,eval_brier,0.0833
9,eval_f1,0.9143
9,eval_loss,0.4669
9,eval_mcc,0.8346
9,eval_pf,0.0556
9,eval_precision,0.9412
9,eval_recall,0.8889
9,eval_time,52.0
