,gpt_says,label,pro
0,No,0,0
1,No,0,0
2,Yes,1,1
3,No.,0,0
4,Yes,0,1
5,No,0,0
6,No,1,0
7,No,0,0
8,No,0,0
9,Yes,1,1
10,No,0,0
11,Yes,0,1
12,Yes,1,1
13,No,0,0
14,No,0,0
15,No,0,0
16,No,0,0
17,No,1,0
18,Yes,1,1
19,No,0,0
20,"Yes, the Commit_Text does answer the Issue_Text.",1,1
21,Yes.,1,1
22,No.,0,0
23,No,0,0
24,No,0,0
25,No,0,0
26,"No, the Commit_Text does not answer the Issue_Text.",0,0
27,Yes,1,1
28,No.,0,0
29,No,1,0
30,No,0,0
31,No,1,0
32,Yes,1,1
33,Yes.,1,1
34,Yes,1,1
35,No,0,0
36,Yes,0,1
37,Yes,1,1
38,Yes,1,1
39,No,1,0
40,No,0,0
41,No,0,0
42,No,0,0
43,No,0,0
44,No,1,0
45,No,1,0
46,No,0,0
47,No,0,0
48,Yes,1,1
49,Yes,1,1
50,No,0,0
51,Yes,1,1
52,No,1,0
53,No,0,0
54,No,0,0
55,No.,1,0
56,Yes,0,1
57,No,0,0
58,Yes,0,1
59,No.,0,0
60,No,0,0
61,"Yes, the Commit_Text answer the Issue_Text.",0,1
62,No,0,0
63,Yes,1,1
64,Yes,1,1
65,Yes,1,1
66,Yes,1,1
67,Yes,1,1
68,Yes,1,1
69,Yes.,1,1
70,Yes,0,1
71,Yes,1,1
72,No,1,0
73,No,1,0
74,No,1,0
75,No,0,0
76,No,1,0
77,Yes.,1,1
78,No,1,0
79,No.,1,0
80,No,0,0
81,Yes,1,1
82,No,0,0
83,No,0,0
84,No,0,0
85,Yes.,0,1
86,No,0,0
87,No.,1,0
88,Yes,1,1
89,No,1,0
90,No,1,0
91,No,0,0
92,No,0,0
93,No,0,0
94,No,0,0
95,No,1,0
96,No,0,0
97,No,0,0
98,No,0,0
99,No,0,0
100,Yes,1,1
101,No,0,0
102,No,0,0
103,Yes.,1,1
104,No,1,0
105,No,1,0
106,Yes.,1,1
107,No.,0,0
108,No,0,0
109,Yes,1,1
110,Yes,1,1
111,Yes,0,1
112,Yes,1,1
113,No,0,0
114,No,0,0
115,Yes,1,1
116,No,0,0
117,No,0,0
118,No,0,0
119,No,1,0
120,Yes,1,1
121,Yes,1,1
122,No,1,0
123,Yes,1,1
124,No,1,0
125,Yes,1,1
126,No,0,0
127,No,1,0
128,Yes,1,1
129,No,0,0
130,No,1,0
131,Yes,0,1
132,No,0,0
133,No,1,0
134,"Yes, the Commit_Text does answer the Issue_Text.",1,1
135,No,0,0
136,"No, the Commit_Text does not answer the Issue_Text.",0,0
137,Yes,1,1
138,Yes.,1,1
139,Yes,1,1
140,Yes,1,1
141,Yes.,1,1
142,No,0,0
143,no,1,0
